#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
345,Redd15a,Demo,"SPIDER SENSE: Software-engineering, networked, system evaluation","Reddy, N.H.",Junghun Kim ,"Palepu, V.K.","Jones, J.A.",,,,,,,,,2015,VISSOFT
346,Hodn15a,Demo,XVIZIT: Visualizing cognitive units in spreadsheets,"Hodnigg, K.","Pinzger, M.",,,,,,,,,,,2015,VISSOFT
347,,Paper,Towards Actionable Visualisation in Software Development,"Merino, L.","Ghafari, M.","Nierstrasz, O.",,,,,,,,,,2016,VISSOFT
348,,Demo,A Visualization Tool for 3D Graphics Program Comprehension and Debugging,"Podila, S.","Zhu, Y.",,,,,,,,,,,2016,VISSOFT
349,,Demo,Interactive Visualizations for Testing Physics Engines in Robotics,"Fabry, J.","Sinclair, S.",,,,,,,,,,,2016,VISSOFT
350,,Demo,DAHLIA 2.0: A Visual Analyzer of Database Usage in Dynamic and Heterogeneous Systems,"Meurice, L.","Cleve, A.",,,,,,,,,,,2016,VISSOFT
351,,NIER,MetaVis: Exploring Actionable Visualization,"Merino, L.","Ghafari, M.","Nierstrasz, O.","Bergel, A.","Kubelka, J.",,,,,,,,2016,VISSOFT
352,,Demo,vizSlice: Visualizing Large Scale Software Slices,"Alomari, H.W.","Jennings, R.A.","Virote de Souza, P.","Stephan, M.","Gannod, G.C.",,,,,,,,2016,VISSOFT
353,,NIER,Metrics Visualization Technique Based on the Origins and Function Layers for OSS-Based Development,"Ishizue, R.","Washizaki, H.","Fukazawa, Y.","Inoue, S.","Hanai, Y.","Kanazawa, M.","Namba, K.",,,,,,2016,VISSOFT
354,,NIER,Towards Visualization of Feature Interactions in Software Product Lines,"Illescas, S.","Lopez-Herrejon, R.E.","Egyed, A.",,,,,,,,,,2016,VISSOFT
355,,Paper,Visualizing the Evolution of Working Sets,"Minelli, R.","Mocci, A.","Lanza, M.",,,,,,,,,,2016,VISSOFT
356,,Demo,Visualizing Modules and Dependencies of OSGi-Based Applications,"Seider, D.","Schreiber, A.","Marquardt, T.","Brueggemann, M.",,,,,,,,,2016,VISSOFT
357,,NIER,Visually Exploring Object Mutation,"Schulz, R.","Beck, F.","Cerezo Felipez, J.W.","Bergel, A.",,,,,,,,,2016,VISSOFT
358,,Paper,CuboidMatrix: Exploring Dynamic Structural Connections in Software Components Using Space-Time Cube,Schneider. T,"Tymchuk, Y.",Salgado R.,"Bergel, A.",,,,,,,,,2016,VISSOFT
359,,Demo,A Visualization Framework for Parallelization,"Wilhelm, A.","Savu, V.","Amadasun, E.","Gerndt, M.","Schuele, T.",,,,,,,,2016,VISSOFT
360,,Paper,Perquimans: A Tool for Visualizing Patterns of Spreadsheet Function Combinations,"Middleton, J.","Murphy-Hill, E.",,,,,,,,,,,2016,VISSOFT
361,,Paper,Visualization for Software Product Lines: A Systematic Mapping Study,"Lopez-Herrejon, R.E.","Illescas, S.","Egyed, A.",,,,,,,,,,2016,VISSOFT
362,,Paper,"Walls, Pillars and Beams: A 3D Decomposition of Quality Anomalies","Tymchuk, Y.","Merino, L.","Ghafari, M.","Nierstrasz, O.",,,,,,,,,2016,VISSOFT
363,,Demo,An Interactive Microarray Call-Graph Visualization,"Shah, M.D.","Guyer, S.D.",,,,,,,,,,,2016,VISSOFT
364,,Paper,Jsvee & Kelmu: Creating and Tailoring Program Animations for Computing Education,"Sirkiae, T.",,,,,,,,,,,,2016,VISSOFT
365,,NIER,Critical Section Investigator: Building Story Visualizations with Program Traces,"Shah, M.D.","Guyer, S.D.",,,,,,,,,,,2016,VISSOFT
366,,Demo,On Using Tree Visualisation Techniques to Support Source Code Comprehension,"Bacher, I.","Mac Namee, B.","Kelleher, J.D.",,,,,,,,,,2016,VISSOFT
367,,Paper,Merge-Tree: Visualizing the Integration of Commits into Linux,"Wilde, E.","German, D.",,,,,,,,,,,2016,VISSOFT
368,,Paper,Visualizing Project Evolution through Abstract Syntax Tree Analysis,"Feist, M.D.","Santos, E.A.","Watts, I.","Hindle, A.",,,,,,,,,2016,VISSOFT
