#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
89,Cott08a,Paper,Representing unit test data for large scale software development,"Cottam, J.A.","Hursey, J.","Lumsdaine, A.",,,,,,,,,,2008,SOFTVIS
90,Tele08a,Paper,An interactive reverse engineering environment for large-scale C++ code,"Telea, A.","Voinea, L.",,,,,,,,,,,2008,SOFTVIS
91,Parn08a,Paper,A catalogue of lightweight visualizations to support code smell inspection,"Parnin, C.","Gorg, C.","Nnadi, O.",,,,,,,,,,2008,SOFTVIS
92,Sens08a,Paper,Classifying desirable features of software visualization tools for corrective maintenance,"Sensalire, M.","Ogao, P.","Telea, A.",,,,,,,,,,2008,SOFTVIS
93,Diet08a,Paper,Cluster analysis of Java dependency graphs,"Dietrich, J.","Yakovlev, V.","McCartin, C.","Jenson, G.","Duchrow, M.",,,,,,,,2008,SOFTVIS
94,Pilg08a,Paper,"Gef3D: a framework for two-, two-and-a-half-, and three-dimensional graphical editors","von Pilgrim, J.","Duske, K.",,,,,,,,,,,2008,SOFTVIS
95,Eich08a,Paper,Automatic layout of UML use case diagrams,"Eichelberger, H.",,,,,,,,,,,,2008,SOFTVIS
96,Ploeg08a,Paper,Improving an interactive visualization of transition systems,"Ploeger, B.","Tankink, C.",,,,,,,,,,,2008,SOFTVIS
97,Pauw08a,Paper,Streamsight: a visualization tool for large-scale streaming applications,"De Pauw, W.","Andrade, H.","Amini, L.",,,,,,,,,,2008,SOFTVIS
98,Subr08a,Paper,Software visualization for end-user programmers: trial period obstacles,"Subrahmaniyan, N.","Burnett, M.","Bogart, C.",,,,,,,,,,2008,SOFTVIS
99,Hare08a,Paper,Visualizing inter-dependencies between scenarios,"Harel, D.","Segall, I.",,,,,,,,,,,2008,SOFTVIS
100,Wett08a,Paper,Visually localizing design problems with disharmony maps,"Wettel, R.","Lanza, M.",,,,,,,,,,,2008,SOFTVIS
101,Bern08a,Paper,Stacked-widget visualization of scheduling-based algorithms,"Bernardin, T.","Budge, B.C.","Hamann, B.",,,,,,,,,,2008,SOFTVIS
102,Nest08a,Paper,Applying visualisation techniques in software product lines,"Nestor, D.","Thiel, S.","Botterweck, G.","Cawley, C.","Healy, P.",,,,,,,,2008,SOFTVIS
103,Pana08a,Paper,Signature visualization of software binaries,"Panas, T.",,,,,,,,,,,,2008,SOFTVIS
104,Ther08a,Paper,Supporting the understanding of the evolution of software items,"Theron, R.","Gonzalez, A.","Garcia, F.J.",,,,,,,,,,2008,SOFTVIS
105,Savi08a,Paper,Rapid visual design with semantics encoding through 3d CRC cards,"Savidis, A.","Papadakos, P.","Zargianakis, G.",,,,,,,,,,2008,SOFTVIS
106,Agui08b,Poster,A landscape metaphor for visualization of software projects,"Aguirregoitia, A.","Dolado, D.J.","Presedo, C.",,,,,,,,,,2008,SOFTVIS
107,Agui08a,Poster,A metro map metaphor for visualization of software projects,"Aguirregoitia, A.","Dolado, D.J.","Presedo, C.",,,,,,,,,,2008,SOFTVIS
108,Carn08a,Poster,Combining software visualization paradigms to support software comprehension activities,"de F. Carneiro, G.","Magnavita, R.","Mendonca, M.",,,,,,,,,,2008,SOFTVIS
109,Dach08a,Poster,Enhancing UML sketch tools with digital pens and paper,"Dachselt, R.","Frisch, M.","Decker, E.",,,,,,,,,,2008,SOFTVIS
